Accuracy,F1,Precision,Recall,Specificity,Kappa,ROC_AUC
0.9904761904761905,0.9818181818181818,0.9642857142857143,1.0,1.0,0.9753694581280788,1.0
0.9904761904761905,0.9824561403508771,0.9655172413793104,1.0,1.0,0.9759229534510433,1.0
0.9714285714285714,0.9454545454545454,0.9629629629629629,0.9285714285714286,0.9285714285714286,0.9261083743842364,0.9967532467532467
0.9904761904761905,0.9824561403508771,0.9655172413793104,1.0,1.0,0.9759229534510433,0.9995361781076066
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9619047619047619,0.9310344827586207,0.9,0.9642857142857143,0.9642857142857143,0.9047619047619048,0.99860853432282
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9809523809523809,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9512987012987013,0.99860853432282
0.9333333333333333,0.8627450980392157,0.9565217391304348,0.7857142857142857,0.7857142857142857,0.8192771084337349,0.9842300556586271
1.0,1.0,1.0,1.0,1.0,1.0,1.0
